lev_timestamp,site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,timestamp_quarter,baseline_value,relative_to_baseline,ObjectId
2/8/04,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,275.86,null,null,1,null,D,2,null,T,A,1,274.1553846153846,Greater,4717
7/20/03,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,179.24,null,null,1,null,D,2,null,T,A,3,177.6092857142857,Greater,4719
7/20/95,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,270.79,null,null,1,null,D,2,null,T,A,3,null,null,4720
12/12/99,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,273.62,null,null,1,null,D,2,null,T,A,4,272.21555555555557,Greater,4723
3/3/23,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,303.85,null,null,1,USGS,m,2,S,V,A,1,302.59999999999997,Greater,4727
6/26/17,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,300.59,null,null,1,USGS,m,2,S,V,A,2,299.22888888888895,Greater,4732
9/14/03,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,179.38,null,null,1,null,D,2,null,T,A,3,177.88214285714284,Greater,4736
3/28/04,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,276.02,null,null,1,null,D,2,null,T,A,1,274.2885714285714,Greater,4737
9/7/95,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,270.84,null,null,1,null,D,2,null,T,A,3,null,null,4740
10/25/00,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,274.15,null,null,1,null,D,2,null,T,A,4,272.409,Greater,4741
3/14/24,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,304.69,null,null,1,USGS,m,2,S,V,A,1,303.20142857142855,Greater,4745
8/23/04,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,179.83,null,null,1,null,D,2,null,T,A,3,178.15285714285713,Greater,4749
10/11/04,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,179.94,null,null,1,null,D,2,null,T,A,3,178.42428571428573,Greater,4752
7/27/05,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,180.3,null,null,1,null,D,2,null,T,A,3,178.6764285714286,Greater,4755
9/20/05,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,180.31,null,null,1,null,D,2,null,T,A,3,178.92785714285716,Greater,4758
8/20/06,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,180.81,null,null,1,null,D,2,null,T,A,3,179.17285714285714,Greater,4761
10/9/06,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,180.9,null,null,1,null,D,2,null,T,A,3,179.415,Greater,4764
8/9/07,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,181.24,null,null,1,null,D,2,null,T,A,3,179.64285714285714,Greater,4767
9/27/07,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,181.22,null,null,1,null,D,2,null,T,A,3,179.8607142857143,Greater,4770
9/27/11,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,183.79,null,null,1,USDA,m,1,A,T,A,3,181.06375,Greater,4773
9/27/12,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,184.33,null,null,1,USDA,m,1,A,T,A,3,182.04833333333332,Greater,4776
9/9/13,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,184.74,null,null,1,USDA,m,1,A,T,A,3,182.70333333333335,Greater,4779
