system:index,NDVI,day,month,name,year,.geo
LC08_035038_20130503_0000000000000000001f_0,0.14252682,3,5,D-22-22 06AAA6 [LSP-1],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000022_0,0.14252682,3,5,D-22-22 06AAA5 [LSP-5],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000021_0,0.6148706,3,5,D-22-22 05BBD2 [LSPUED],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000023_0,0.14609848,3,5,D-21-22 19CDB1 [CLRSUS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000026_0,0.15460704,3,5,D-21-21 13BAC1 [MOSWAS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000002d_0,0.22300036,3,5,D-20-21 03CBA [FBK-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000000_0,0.35997537,3,5,D-24-22 04CBA3 [PAL-US],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000003_0,0.35997537,3,5,D-24-22 04CBA4 [PAL-UD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000007_0,0.38490143,3,5,D-24-22 04CBA1 [PAL-LS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000009_0,0.38490143,3,5,D-24-22 04CBA2 [PAL-LD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000002b_0,0.13948576,3,5,D-20-21 14BCC1 [BOQSUS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000032_0,0.15958321,3,5,D-20-21 14BCC2 [BOQSUD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000037_0,0.25588986,3,5,D-19-21 05AAA1 [STD-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000033_0,0.13151537,3,5,D-21-21 02DDC [CHB-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000002a_0,0.13514763,3,5,D-22-22 06AAB [LSPUWD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000002f_0,0.2013379,3,5,D-20-21 03CAB [FBK-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000004_0,0.20478828,3,5,D-24-22 08DBA1 [PLS-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000c_0,0.43759662,3,5,D-23-22 22CBB1 [KOL-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000015_0,0.15120532,3,5,D-23-22 04DCA1 [HERUWS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000014_0,0.33331963,3,5,D-23-22 04DCD4 [HERUED],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000016_0,0.33331963,3,5,D-23-22 04DCD3 [HERUES],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000027_0,0.13917278,19,5,D-22-22 06AAA3 [LSP-3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000028_0,0.13917278,19,5,D-22-22 06AAA7 [LSP-2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000e_0,0.21310204,19,5,D-23-22 09ACD1 [HERSUS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000f_0,0.21310204,19,5,D-23-22 09ACD2 [HERSUD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000001c_0,0.14288789,19,5,D-22-22 17BDD2 [COTUWD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000024_0,0.16674666,19,5,D-21-22 19CDB2 [CLRSUD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000010_0,0.48415908,19,5,D-23-22 04DCD1 [HER-LS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
