system:index,NDVI,day,month,name,year,.geo
LC08_035038_20150117_00000000000000000006_0,0.1755587,17,1,D-24-22 04ADD [PAL-SA],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000013_0,0.19427815,17,1,D-22-22 28CAA2 [HUN-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000029_0,0.19843896,17,1,D-21-21 13BAB1 [MOSLNS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000031_0,0.19843896,17,1,D-21-21 13BAB2 [MOSLND],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000001_0,0.18879905,17,1,D-24-22 04CBC2 [PALUWD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000008_0,0.18879905,17,1,D-24-22 04CBC1 [PALUWS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_0000000000000000001a_0,0.16551314,17,1,D-22-22 06AAA4 [LSP-4],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_0000000000000000001f_0,0.16551314,17,1,D-22-22 06AAA6 [LSP-1],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000022_0,0.16551314,17,1,D-22-22 06AAA5 [LSP-5],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000021_0,0.27038708,17,1,D-22-22 05BBD2 [LSPUED],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000023_0,0.18323135,17,1,D-21-22 19CDB1 [CLRSUS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000026_0,0.1899113,17,1,D-21-21 13BAC1 [MOSWAS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_0000000000000000002d_0,0.18321998,17,1,D-20-21 03CBA [FBK-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000000_0,0.2134134,17,1,D-24-22 04CBA3 [PAL-US],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000003_0,0.2134134,17,1,D-24-22 04CBA4 [PAL-UD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000007_0,0.2299486,17,1,D-24-22 04CBA1 [PAL-LS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000009_0,0.2299486,17,1,D-24-22 04CBA2 [PAL-LD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_0000000000000000002b_0,0.17597584,17,1,D-20-21 14BCC1 [BOQSUS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000032_0,0.17398833,17,1,D-20-21 14BCC2 [BOQSUD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000037_0,0.19869569,17,1,D-19-21 05AAA1 [STD-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000033_0,0.13470466,17,1,D-21-21 02DDC [CHB-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_0000000000000000002a_0,0.15273803,17,1,D-22-22 06AAB [LSPUWD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_0000000000000000002f_0,0.24054444,17,1,D-20-21 03CAB [FBK-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000004_0,0.26497203,17,1,D-24-22 08DBA1 [PLS-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_0000000000000000000c_0,0.24518289,17,1,D-23-22 22CBB1 [KOL-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000015_0,0.19528483,17,1,D-23-22 04DCA1 [HERUWS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
