system:index,NDVI,day,month,name,year,.geo
LC08_035038_20130503_00000000000000000012_0,0.18246475,3,5,D-21-20 14DAD1 [MW-6],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000013_0,0.16562094,3,5,D-21-22 13CAD,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000014_0,0.17288661,3,5,D-21-20 15ACD1 [TW-4],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000015_0,0.14533313,3,5,D-21-21 17BCC1 [TW-9],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000016_0,0.18041322,3,5,D-21-20 13CBD1 [TW-8],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000017_0,0.1804921,3,5,D-21-20 13CBA1 [CASING-8],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000018_0,0.21109638,3,5,D-21-20 11BCD1 [TW-7],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000019_0,0.15243122,3,5,D-21-21 16AAD1 [MW-5],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001a_0,0.14126635,3,5,D-21-21 10ADA1 [MW-1],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001b_0,0.14307955,3,5,D-21-20 10BBD1 [TW-9W],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001c_0,0.14709885,3,5,D-21-20 09ABC1 [MW-2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001d_0,0.13450156,3,5,D-20-21 33CDD1 [MW-7],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001e_0,0.13661051,3,5,D-20-20 35CCB1 [TW-6],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001f_0,0.17612697,3,5,D-20-19 13DDC1 [RAIN],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000000_0,0.18416229,19,5,D-24-21 17BCB3 [Baumkirchner 3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000001_0,0.25457788,19,5,D-23-22 33BCC [PALO FH],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000002_0,0.16313677,19,5,D-23-22 29DBD1 [3-CAN S],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000003_0,0.16424602,19,5,D-23-22 29ACB1 [3-CAN N],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000004_0,0.18427241,19,5,D-23-23 32BCB [FOUDY],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000005_0,0.1407222,19,5,D-23-22 17ACC [HOLDER],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000006_0,0.17971157,19,5,D-23-21 06CCC2 [RAMBO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000007_0,0.18546511,19,5,D-22-21 35ADD1 PZ1 [RANCH DEEP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000008_0,0.18546511,19,5,D-22-21 35ADD1 PZ2 [RANCH SHALLOW],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000009_0,0.3299524,19,5,D-22-20 26DDC [ANTELOPE 2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000a_0,0.19600344,19,5,D-22-20 26ABB1 [ANTELOPE 3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000b_0,0.1509336,19,5,D-22-21 11BDA1 [SB RANCH],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000c_0,0.20264,19,5,D-21-21 27CBD [BELLA VISTA],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000d_0,0.15962605,19,5,D-22-22 23BCA [MISTY RAY],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000e_0,0.14506014,19,5,D-21-21 20ACC1 [MW-4],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
