My Generated Report

site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,lev_timestamp,ObjectId
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",15.16,null,null,"1",null,"m","2",null,"O","A","11/14/2007",28
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",14.97,null,null,"1",null,"m","2",null,"O","A","12/17/2007",29
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",14.9,null,null,"1",null,"m","2",null,"O","A","1/28/2008",30
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",14.94,null,null,"1",null,"m","2",null,"O","A","2/22/2008",31
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",14.91,null,null,"1",null,"m","2",null,"O","A","3/12/2008",32
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",14.97,null,null,"1",null,"m","2",null,"O","A","4/22/2008",33
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",14.68,null,null,"1",null,"m","2",null,"O","A","12/17/2008",34
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",14.88,null,null,"1",null,"m","2",null,"O","A","3/26/2009",35
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",16.56,null,null,"1",null,"m","2",null,"O","A","6/22/2009",36
312207110070701,"D-24-22 04CBA3 [PAL-US]",31.3689111,-110.1192944,"PAL-US","USGS","GW",16.82,null,null,"1",null,"m","2",null,"O","A","7/31/2009",37
