name,date,ppt
wg_rg001,2000-08-12T07:00:00Z,11.390999794006348
wg_rg001,2000-08-13T07:00:00Z,0
wg_rg001,2000-08-14T07:00:00Z,0
wg_rg001,2000-08-15T07:00:00Z,0
wg_rg001,2000-08-16T07:00:00Z,0
wg_rg001,2000-08-17T07:00:00Z,0
wg_rg001,2000-08-18T07:00:00Z,9.772000312805176
wg_rg001,2000-08-19T07:00:00Z,0
wg_rg001,2000-08-20T07:00:00Z,0
wg_rg001,2000-08-21T07:00:00Z,6.317999839782715
wg_rg001,2000-08-22T07:00:00Z,0
wg_rg001,2000-08-23T07:00:00Z,3.437999963760376
wg_rg001,2000-08-24T07:00:00Z,3.499000072479248
wg_rg001,2000-08-25T07:00:00Z,0
wg_rg001,2000-08-26T07:00:00Z,0
wg_rg001,2000-08-27T07:00:00Z,0
wg_rg001,2000-08-28T07:00:00Z,16.27899932861328
wg_rg001,2000-08-29T07:00:00Z,11.220000267028809
wg_rg001,2000-08-30T07:00:00Z,6.093999862670898
wg_rg001,2000-08-31T07:00:00Z,1.8969999551773071
wg_rg001,2000-09-01T07:00:00Z,0
wg_rg001,2000-09-02T07:00:00Z,0
wg_rg001,2000-09-03T07:00:00Z,0
wg_rg001,2000-09-04T07:00:00Z,0
wg_rg001,2000-09-05T07:00:00Z,0
wg_rg001,2000-09-06T07:00:00Z,0
wg_rg001,2000-09-07T07:00:00Z,0
wg_rg001,2000-09-08T07:00:00Z,0
wg_rg001,2000-09-09T07:00:00Z,0
wg_rg001,2000-09-10T07:00:00Z,0.5669999718666077
wg_rg001,2000-09-11T07:00:00Z,0
wg_rg001,2000-09-12T07:00:00Z,0
wg_rg001,2000-09-13T07:00:00Z,0
wg_rg001,2000-09-14T07:00:00Z,0
wg_rg001,2000-09-15T07:00:00Z,0
wg_rg001,2000-09-16T07:00:00Z,0
wg_rg001,2000-09-17T07:00:00Z,0
wg_rg001,2000-09-18T07:00:00Z,0
wg_rg001,2000-09-19T07:00:00Z,0
wg_rg001,2000-09-20T07:00:00Z,0
wg_rg001,2000-09-21T07:00:00Z,0
wg_rg001,2000-09-22T07:00:00Z,0
wg_rg001,2000-09-23T07:00:00Z,0
wg_rg001,2000-09-24T07:00:00Z,0
wg_rg001,2000-09-25T07:00:00Z,0
wg_rg001,2000-09-26T07:00:00Z,0
wg_rg001,2000-09-27T07:00:00Z,2.5940001010894775
wg_rg001,2000-09-28T07:00:00Z,0
wg_rg001,2000-09-29T07:00:00Z,3.0920000076293945
wg_rg001,2000-09-30T07:00:00Z,0.6800000071525574
wg_rg001,2000-10-01T07:00:00Z,0
wg_rg001,2000-10-02T07:00:00Z,0
wg_rg001,2000-10-03T07:00:00Z,0
wg_rg001,2000-10-04T07:00:00Z,1.5299999713897705
