0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
41.8,d_19120201,0,0,0,0,0,0,58.2,17.3,0,0,0
19.4,d_19120301,0,0,0,0,0,0,80.7,26,0.7,0,0
10.6,d_19120401,0,0,0,0,0,0,89.4,12.8,0,0,0
1.9,d_19120501,0,0,0,0,0,0,98.1,78.8,0,0,0
4,d_19120601,0,0,0,0,0,0,96,9,0,0,0
8.2,d_19120701,0,0,0,0,0,0,91.8,54.6,0,0,0
0,d_19120801,0,0,0,0,0,0,100,92.5,18.4,0.6,0
15,d_19120901,0,0,0,0,0,0,85,41.1,4.8,0,0
2.7,d_19121001,0,0,0,0,0,0,97.4,82.9,24,5.8,0
4.7,d_19121101,0,0,0,0,0,0,95.4,59.4,6.4,0,0
91.7,d_19121201,0,0,0,0,0,0,8.3,0,0,0,0
97.2,d_19130101,0,0,0,0,0,0,2.8,0,0,0,0
46.8,d_19130201,0,0,0,0,0,0,53.2,17.1,0,0,0
68.7,d_19130301,0.1,0,0,0,0,0,31.2,13.6,0,0,0
95.7,d_19130401,0,0,0,0,0,0,4.3,0,0,0,0
93.3,d_19130501,6.7,0,0,0,0,0,0,0,0,0,0
99.8,d_19130601,0.1,0,0,0,0,0,0.1,0,0,0,0
92,d_19130701,8,0,0,0,0,0,0,0,0,0,0
96.1,d_19130801,2,0,0,0,0,0,1.9,0,0,0,0
94,d_19130901,3.7,0,0,0,0,0,2.2,0.1,0,0,0
89.6,d_19131001,10,0.9,0,0,0,0,0.5,0,0,0,0
95.3,d_19131101,3.1,0,0,0,0,0,1.6,0,0,0,0
97.5,d_19131201,0.1,0,0,0,0,0,2.4,0,0,0,0
99.5,d_19140101,0,0,0,0,0,0,0.5,0,0,0,0
99.2,d_19140201,0.7,0,0,0,0,0,0.1,0,0,0,0
100,d_19140301,0,0,0,0,0,0,0,0,0,0,0
99.6,d_19140401,0.4,0,0,0,0,0,0,0,0,0,0
100,d_19140501,0,0,0,0,0,0,0,0,0,0,0
79.1,d_19140601,0,0,0,0,0,0,20.9,0,0,0,0
0.1,d_19140701,0,0,0,0,0,0,99.9,71.3,3.9,0,0
44.4,d_19140801,0,0,0,0,0,0,55.6,27.9,2,0,0
43.6,d_19140901,0,0,0,0,0,0,56.4,30.6,4.2,0,0
0,d_19141001,0,0,0,0,0,0,100,96.7,59.8,29.6,4.4
0,d_19141101,0,0,0,0,0,0,100,100,84.3,52.3,10.2
0,d_19141201,0,0,0,0,0,0,100,100,100,100,95.1
0,d_19150101,0,0,0,0,0,0,100,100,100,100,99.8
0,d_19150201,0,0,0,0,0,0,100,100,100,100,100
0,d_19150301,0,0,0,0,0,0,100,100,100,100,100
0,d_19150401,0,0,0,0,0,0,100,100,100,100,99.1
0,d_19150501,0,0,0,0,0,0,100,100,100,100,80.4
0,d_19150601,0,0,0,0,0,0,100,100,100,100,87.8
0,d_19150701,0,0,0,0,0,0,100,100,100,98.6,75.5
0,d_19150801,0,0,0,0,0,0,100,100,80.6,34.4,0
88.8,d_19150901,10.5,0,0,0,0,0,0.7,0,0,0,0
19.1,d_19151001,80.9,54.2,3.5,0,0,0,0,0,0,0,0
13.6,d_19151101,86.4,68.5,14.7,0.8,0,0,0,0,0,0,0
13.4,d_19151201,86.7,67.7,8.3,0.1,0,0,0,0,0,0,0
94.3,d_19160101,2.8,0.2,0,0,0,0,2.9,0,0,0,0
90.9,d_19160201,8.1,0.2,0,0,0,0,1,0,0,0,0
90.4,d_19160301,1,0,0,0,0,0,8.6,0.3,0,0,0
98.5,d_19160401,1.5,0,0,0,0,0,0.1,0,0,0,0
17,d_19160501,0,0,0,0,0,0,82.9,0.8,0,0,0
6,d_19160601,0,0,0,0,0,0,93.9,52.1,0,0,0
3.8,d_19160701,0,0,0,0,0,0,96.1,82.9,0,0,0
0,d_19160801,0,0,0,0,0,0,100.1,95.9,38,0,0
2.4,d_19160901,0,0,0,0,0,0,97.7,60.3,13.9,0,0
81.5,d_19161001,0,0,0,0,0,0,18.5,6.3,0,0,0
87.6,d_19161101,0,0,0,0,0,0,12.4,4.3,0,0,0
74.3,d_19161201,21.7,0,0,0,0,0,4,0,0,0,0
85.5,d_19170101,0,0,0,0,0,0,14.6,4.2,0,0,0
92.1,d_19170201,1,0,0,0,0,0,6.9,0,0,0,0
94.6,d_19170301,2,0,0,0,0,0,3.4,0,0,0,0
95.8,d_19170401,3.8,0,0,0,0,0,0.3,0,0,0,0
100,d_19170501,0,0,0,0,0,0,0,0,0,0,0
100,d_19170601,0,0,0,0,0,0,0,0,0,0,0
92.9,d_19170701,0,0,0,0,0,0,7.1,1.1,0,0,0
90.1,d_19170801,0.5,0,0,0,0,0,9.4,2,0,0,0
56.3,d_19170901,0,0,0,0,0,0,43.7,13.9,0,0,0
56.3,d_19171001,43.7,14.5,0.4,0,0,0,0,0,0,0,0
48.8,d_19171101,51.2,17.5,0.2,0,0,0,0,0,0,0,0
45,d_19171201,55,23.2,0.2,0,0,0,0,0,0,0,0
74,d_19180101,26,4.8,0,0,0,0,0,0,0,0,0
63.8,d_19180201,36.2,9.8,0,0,0,0,0,0,0,0,0
68.3,d_19180301,31.7,3.4,0,0,0,0,0,0,0,0,0
12.7,d_19180401,87.3,39.4,10.7,2.2,0,0,0,0,0,0,0
33.8,d_19180501,66.2,16.1,0,0,0,0,0,0,0,0,0
0,d_19180601,100,35.4,3.6,0,0,0,0,0,0,0,0
0,d_19180701,100,80.8,5.5,0.3,0,0,0,0,0,0,0
5.1,d_19180801,94.8,85,46.7,9.5,1.4,0,0,0,0,0,0
2.4,d_19180901,97.7,90.2,63,28.8,4.1,0,0,0,0,0,0
0,d_19181001,100,99.8,88.2,74.8,31.5,0,0,0,0,0,0
1.1,d_19181101,98.9,93.8,76.9,60.2,10.6,0,0,0,0,0,0
8.2,d_19181201,91.8,77.4,33.2,0,0,0,0,0,0,0,0
2.6,d_19190101,97.4,86.1,41.7,0,0,0,0,0,0,0,0
6.6,d_19190201,93.4,79.5,19.9,0,0,0,0,0,0,0,0
1.3,d_19190301,98.7,89.3,54.3,9.3,0,0,0,0,0,0,0
23.9,d_19190401,76.1,13.5,0,0,0,0,0,0,0,0,0
100,d_19190501,0,0,0,0,0,0,0,0,0,0,0
73,d_19190601,0,0,0,0,0,0,27,2.2,0,0,0
0,d_19190701,0,0,0,0,0,0,100,100,84,58.6,7.2
4.2,d_19190801,0,0,0,0,0,0,95.8,88.9,63.1,25.1,4
0,d_19190901,0,0,0,0,0,0,100,95,77,50.2,17.4
0,d_19191001,0,0,0,0,0,0,100,100,92.7,78,35.1
0,d_19191101,0,0,0,0,0,0,100,100,100,100,90.3
0,d_19191201,0,0,0,0,0,0,100,100,100,94,67.8
0,d_19200101,0,0,0,0,0,0,100,100,100,94.6,69.2
0,d_19200201,0,0,0,0,0,0,99.9,99.9,96.6,86.7,29.1
0,d_19200301,0,0,0,0,0,0,100,100,96.7,83.2,22.3
0,d_19200401,0,0,0,0,0,0,100,91.2,0,0,0
0,d_19200501,0,0,0,0,0,0,100,99.9,13.5,0,0
0,d_19200601,0,0,0,0,0,0,100,100,20.5,0,0
47.8,d_19200701,0,0,0,0,0,0,52.2,4.2,0,0,0
48.7,d_19200801,51.4,25.2,3.8,0.2,0,0,0,0,0,0,0
63,d_19200901,36.4,16.3,0.9,0,0,0,0.6,0,0,0,0
30.7,d_19201001,69.2,36.1,2.9,0,0,0,0,0,0,0,0
4.5,d_19201101,95.4,66.9,7.5,0,0,0,0,0,0,0,0
0.2,d_19201201,99.7,97,61.3,19.2,0,0,0,0,0,0,0
0,d_19210101,100,98.5,84.2,44.7,4.6,0,0,0,0,0,0
0,d_19210201,100,99.2,85.4,28.4,0,0,0,0,0,0,0
0,d_19210301,100,100,99.2,88.7,7.3,0,0,0,0,0,0
0,d_19210401,100.1,97.7,12.7,0,0,0,0,0,0,0,0
0,d_19210501,100.1,100.1,35.3,13,0,0,0,0,0,0,0
0,d_19210601,99.9,99.9,66.5,22.4,2.8,0,0,0,0,0,0
80,d_19210701,15,0,0,0,0,0,5,0,0,0,0
63.7,d_19210801,0.5,0,0,0,0,0,35.9,14.5,0.6,0,0
49.6,d_19210901,0,0,0,0,0,0,50.3,26.2,3.5,0,0
46.1,d_19211001,0,0,0,0,0,0,53.9,29.5,4.7,0,0
48.3,d_19211101,0,0,0,0,0,0,51.7,31.4,3.2,0,0
54.9,d_19211201,0,0,0,0,0,0,45.1,17.7,0.3,0,0
56.3,d_19220101,0,0,0,0,0,0,43.7,17.1,0.1,0,0
71.8,d_19220201,0.1,0,0,0,0,0,28.2,6.5,0,0,0
66.4,d_19220301,0,0,0,0,0,0,33.6,9,0,0,0
45.9,d_19220401,54.1,11,0,0,0,0,0,0,0,0,0
0.6,d_19220501,99.4,83.1,1.1,0,0,0,0,0,0,0,0
1.8,d_19220601,98.1,34.1,1,0,0,0,0,0,0,0,0
17.4,d_19220701,82.7,60.6,4.6,0.2,0,0,0,0,0,0,0
25.9,d_19220801,74.2,24.2,4.6,0.4,0,0,0,0,0,0,0
70.1,d_19220901,30,13.8,0,0,0,0,0,0,0,0,0
43.4,d_19221001,56.6,18.3,0,0,0,0,0,0,0,0,0
86.2,d_19221101,13.3,2,0,0,0,0,0.5,0,0,0,0
41.3,d_19221201,58.7,7.4,0,0,0,0,0,0,0,0,0
17.5,d_19230101,82.5,56.7,0.2,0,0,0,0,0,0,0,0
22.1,d_19230201,77.9,47.6,0,0,0,0,0,0,0,0,0
13.4,d_19230301,86.5,70.9,0.8,0,0,0,0,0,0,0,0
20.3,d_19230401,79.7,21.6,0,0,0,0,0,0,0,0,0
3.3,d_19230501,96.6,54.3,0,0,0,0,0,0,0,0,0
0,d_19230601,100,97.9,48.5,28.8,0.2,0,0,0,0,0,0
37.1,d_19230701,62.9,23.6,0,0,0,0,0,0,0,0,0
74.6,d_19230801,25.5,5.2,0,0,0,0,0,0,0,0,0
85,d_19230901,12.5,4.9,0.1,0,0,0,2.5,0,0,0,0
86,d_19231001,10.4,4.7,0.1,0,0,0,3.5,0,0,0,0
43.9,d_19231101,4,1.4,0,0,0,0,52.2,12.9,0,0,0
11,d_19231201,0,0,0,0,0,0,88.9,70.2,10.3,0,0
26.4,d_19240101,1.1,0,0,0,0,0,72.5,26.7,0,0,0
58.6,d_19240201,2.8,0.5,0,0,0,0,38.6,5,0,0,0
15.3,d_19240301,0,0,0,0,0,0,84.7,45,0,0,0
33.3,d_19240401,0,0,0,0,0,0,66.7,16.6,0,0,0
60.4,d_19240501,0.1,0,0,0,0,0,39.4,8.8,0,0,0
81.7,d_19240601,0.1,0,0,0,0,0,18.2,0,0,0,0
