date,name,well,level,evi,evi_mean,evi_sd,evi_cv,dtg_mean,dtg_sd,dtg_cv,evi_z,dtg_z,month,reach,year,wy_ppt,method
2015-04-02T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.01,0.12800225058902132,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.306779159385037,-1.4726156121570497,4,NA,2015,209.29800025280565,obs relative to whole year - MOD09 daily EVI
2016-04-11T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.31,0.11178725121032812,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.6738150998993128,-0.9986114568737882,4,NA,2016,109.98000078997575,obs relative to whole year - MOD09 daily EVI
2017-04-04T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.78,0.118719683813402,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.5168954564817183,-0.25600494693008674,4,NA,2017,89.30499882390723,obs relative to whole year - MOD09 daily EVI
2018-04-11T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.39,0.12368190427727362,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.40457271058081246,0.7078035021458632,4,NA,2018,158.41600170731544,obs relative to whole year - MOD09 daily EVI
2020-04-10T07:00:00Z,D-23-23 32BCB [FOUDY],regional,264.04,0.12889052754478142,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.2866724939279309,1.7348125052596113,4,NA,2020,250.86100117862225,obs relative to whole year - MOD09 daily EVI
2001-05-07T07:00:00Z,D-23-23 32BCB [FOUDY],regional,261.72,0.16982103036194182,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,0.6398132398278861,-1.9308196289307942,5,NA,2001,161.39000054169446,obs relative to whole year - MOD09 daily EVI
2001-07-11T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.08,0.15255330916241627,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,0.248948328705272,-1.3620146425909703,7,NA,2001,161.39000054169446,obs relative to whole year - MOD09 daily EVI
2002-06-12T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.43,0.1163091238046007,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.5714598841041504,-0.8090097947604836,6,NA,2002,58.81000014208257,obs relative to whole year - MOD09 daily EVI
2003-04-17T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.73,0.10155689370066454,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.905385191433863,-0.3350056394772222,4,NA,2003,97.60000015050173,obs relative to whole year - MOD09 daily EVI
2004-05-11T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.47,0.1437032721623459,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,0.04862259460902114,0.8342046102214595,5,NA,2004,155.1310014501214,obs relative to whole year - MOD09 daily EVI
2006-07-07T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.78,0.10912981455064193,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.7339677240817533,1.3240089040140581,7,NA,2006,52.88300016801804,obs relative to whole year - MOD09 daily EVI
2022-04-04T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,77.63,0.10644344546065208,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.8257527959935916,-0.10456385265979284,4,NA,2022,90.18839840817964,obs relative to whole year - MOD09 daily EVI
2016-04-20T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,76.16,0.13433351118922823,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.5670259732799601,-2.1194740471714533,4,NA,2016,107.44700013939291,obs relative to whole year - MOD09 daily EVI
2017-07-14T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,77.79,0.11195527965656751,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.7746213514601927,0.11474610048434844,7,NA,2017,84.23100012529176,obs relative to whole year - MOD09 daily EVI
2018-04-17T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,77.28,0.11357963055416875,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.7595527908193405,-0.5843043751625617,4,NA,2018,136.05300031322986,obs relative to whole year - MOD09 daily EVI
2018-06-21T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,78.01,0.11620096722192372,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.7352355262452349,0.4162972860575208,6,NA,2018,136.05300031322986,obs relative to whole year - MOD09 daily EVI
2018-07-13T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,78.14,0.14275279471544716,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.48892309258176353,0.5944866229871173,7,NA,2018,136.05300031322986,obs relative to whole year - MOD09 daily EVI
2019-06-26T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,78.16,0.12921332703476254,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.614524211214777,0.6219003671301276,6,NA,2019,102.10899970680475,obs relative to whole year - MOD09 daily EVI
2020-06-25T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,78.19,0.1627518779062836,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.30339827878223485,0.663020983344653,6,NA,2020,251.92100328207016,obs relative to whole year - MOD09 daily EVI
2021-06-28T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,79.29,0.1225555853201179,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.6762858569936574,2.170776911210534,6,NA,2021,76.61189955472946,obs relative to whole year - MOD09 daily EVI
2022-06-27T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,79.31,0.1439873855431686,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.4774702059046096,2.1981906553535446,6,NA,2022,90.18839840817964,obs relative to whole year - MOD09 daily EVI
2023-04-17T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,77.22,0.124023949452308,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.662664333466054,-0.6665456075916123,4,NA,2023,90.52509909833316,obs relative to whole year - MOD09 daily EVI
2023-06-26T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,78.19,0.13398808390238595,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.5702303868253797,0.663020983344653,6,NA,2023,90.52509909833316,obs relative to whole year - MOD09 daily EVI
2019-07-18T07:00:00Z,D-23-22 29ACB1 [3-CAN N],regional,78.66,0.13033894514902725,0.19545740819658222,0.10779734948256953,0.5515132451472591,77.70628571428571,0.7295610514076893,0.00938870060126378,-0.6040822279965651,1.307243970705523,7,NA,2019,102.10899970680475,obs relative to whole year - MOD09 daily EVI
2005-04-07T07:00:00Z,D-23-22 17ACC [HOLDER],regional,101.81,0.13894472956034337,0.14759432576905793,0.05074523024697988,0.3438155903525815,102.16610169491526,2.3913630631555436,0.023406619450906975,-0.1704514131991615,-0.14891159790908373,4,NA,2005,140.41599906038027,obs relative to whole year - MOD09 daily EVI
2005-07-07T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,35,0.21615434924787447,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,0.8446328030335956,1.0065197980588656,7,NA,2005,267.7259992361069,obs relative to whole year - MOD09 daily EVI
